viersteller;vierstellername;Anzahl BA;unter 1 Jahr;1 bis unter 5 Jahre;5 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 70 Jahre;70 bis unter 75 Jahre;75 bis unter 80 Jahre;80 bis unter 85 Jahre;85 bis unter 90 Jahre;90 Jahre und älter;Ant00J;Ant0105J;Ant0510J;Ant1015J;Ant1520J;Ant2025J;Ant2530J;Ant3035J;Ant3540J;Ant4045J;Ant4550J;Ant5055J;Ant5560J;Ant6065J;Ant6570J;Ant7075J;Ant7580J;Ant8085J;Ant8590J;Ant90ffJ
1-474;Perkutane Biopsie an weiblichen Geschlechtsorganen mit Steuerung durch bildgebende Verfahren;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,50
1-480;Perkutane (Nadel-)Biopsie an Knochen;12;0;0;0;0;1;0;0;1;0;1;0;0;3;0;1;1;2;2;0;0;0,00;0,00;0,00;0,00;0,0833;0,00;0,00;0,0833;0,00;0,0833;0,00;0,00;0,25;0,00;0,0833;0,0833;0,1667;0,1667;0,00;0,00
1-481;Biopsie ohne Inzision an Knochen mit Steuerung durch bildgebende Verfahren;8;0;0;0;0;0;0;0;0;0;1;0;0;2;1;0;2;0;1;1;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,125;0,00;0,00;0,25;0,125;0,00;0,25;0,00;0,125;0,125;0,00
1-482;Arthroskopische Biopsie an Gelenken;419;0;0;0;0;9;15;20;19;22;47;61;52;51;42;28;24;22;5;2;0;0,00;0,00;0,00;0,00;0,0215;0,0358;0,0477;0,0453;0,0525;0,1122;0,1456;0,1241;0,1217;0,1002;0,0668;0,0573;0,0525;0,0119;0,0048;0,00
1-483;Perkutane (Nadel-)Biopsie an Gelenken und Schleimbeuteln;9;0;0;0;0;0;0;0;0;0;0;2;0;1;0;1;2;2;1;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,2222;0,00;0,1111;0,00;0,1111;0,2222;0,2222;0,1111;0,00;0,00
1-484;Perkutane Biopsie an Gelenken und Schleimbeuteln mit Steuerung durch bildgebende Verfahren;16;0;0;0;0;0;0;0;0;1;0;0;1;4;2;0;3;3;2;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0625;0,00;0,00;0,0625;0,25;0,125;0,00;0,1875;0,1875;0,125;0,00;0,00
1-490;Biopsie ohne Inzision an Haut und Unterhaut;773;0;0;0;0;10;16;17;19;12;22;46;58;59;58;68;96;110;101;59;22;0,00;0,00;0,00;0,00;0,0129;0,0207;0,022;0,0246;0,0155;0,0285;0,0595;0,075;0,0763;0,075;0,088;0,1242;0,1423;0,1307;0,0763;0,0285
1-491;Perkutane (Nadel-)Biopsie an Muskeln und Weichteilen;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,25;0,00;0,00;0,25;0,25;0,00;0,00;0,25;0,00
1-492;Perkutane Biopsie an Muskeln und Weichteilen mit Steuerung durch bildgebende Verfahren;3;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,3333;0,00;0,00;0,3333;0,00;0,00;0,00;0,00;0,3333;0,00
1-493;Perkutane (Nadel-)Biopsie an anderen Organen und Geweben;46;0;0;0;0;0;0;0;1;1;3;7;0;6;3;4;4;5;7;4;1;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0217;0,0217;0,0652;0,1522;0,00;0,1304;0,0652;0,087;0,087;0,1087;0,1522;0,087;0,0217
1-494;Perkutane Biopsie an anderen Organen und Geweben mit Steuerung durch bildgebende Verfahren;52;0;0;0;0;0;0;0;1;2;1;3;6;2;4;3;11;8;4;6;1;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0192;0,0385;0,0192;0,0577;0,1154;0,0385;0,0769;0,0577;0,2115;0,1538;0,0769;0,1154;0,0192
1-497;Transvenöse oder transarterielle Biopsie;23;0;0;0;0;0;2;0;0;3;1;2;5;5;2;1;1;0;1;0;0;0,00;0,00;0,00;0,00;0,00;0,087;0,00;0,00;0,1304;0,0435;0,087;0,2174;0,2174;0,087;0,0435;0,0435;0,00;0,0435;0,00;0,00
1-501;Biopsie der Mamma durch Inzision;34;0;0;0;2;2;2;1;4;1;5;4;2;1;2;1;3;2;1;0;1;0,00;0,00;0,00;0,0588;0,0588;0,0588;0,0294;0,1176;0,0294;0,1471;0,1176;0,0588;0,0294;0,0588;0,0294;0,0882;0,0588;0,0294;0,00;0,0294
1-502;Biopsie an Muskeln und Weichteilen durch Inzision;49;0;0;0;0;0;0;1;3;3;5;3;7;1;8;6;3;1;5;2;1;0,00;0,00;0,00;0,00;0,00;0,00;0,0204;0,0612;0,0612;0,102;0,0612;0,1429;0,0204;0,1633;0,1224;0,0612;0,0204;0,102;0,0408;0,0204
1-503;Biopsie an Knochen durch Inzision;328;0;0;1;0;0;0;0;5;2;6;17;25;26;36;69;59;51;28;2;1;0,00;0,00;0,003;0,00;0,00;0,00;0,00;0,0152;0,0061;0,0183;0,0518;0,0762;0,0793;0,1098;0,2104;0,1799;0,1555;0,0854;0,0061;0,003
1-504;Biopsie an Gelenken und Schleimbeuteln durch Inzision;112;0;0;0;0;0;1;0;3;1;3;5;11;14;9;18;24;15;7;1;0;0,00;0,00;0,00;0,00;0,00;0,0089;0,00;0,0268;0,0089;0,0268;0,0446;0,0982;0,125;0,0804;0,1607;0,2143;0,1339;0,0625;0,0089;0,00
1-510;Biopsie an intrakraniellem Gewebe durch Inzision und Trepanation von Schädelknochen;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99
1-511;Stereotaktische Biopsie an intrakraniellem Gewebe;5;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,20;0,00;0,00;0,20;0,00;0,20;0,20;0,20;0,00;0,00;0,00
1-512;Biopsie an intraspinalem Gewebe durch Inzision;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1-513;Biopsie an peripheren Nerven durch Inzision;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1-514;Biopsie an Hypophyse und Corpus pineale durch Inzision;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1-515;Stereotaktische Biopsie an Hypophyse und Corpus pineale;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1-520;Biopsie am Augenlid durch Inzision;6;0;0;0;0;0;0;0;0;0;0;1;0;0;1;2;0;1;1;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,1667;0,00;0,00;0,1667;0,3333;0,00;0,1667;0,1667;0,00;0,00
1-522;Biopsie an Tränendrüse und Tränendrüsenausführungsgang durch Inzision;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1-529;Biopsie an anderen Teilen des Auges durch Inzision;4;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,25;0,25;0,25;0,00;0,00;0,00;0,25;0,00;0,00;0,00;0,00
1-531;Biopsie am äußeren Gehörgang durch Inzision;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0,00;0,00;0,00;0,00;0,00;0,3333;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,3333;0,00;0,3333;0,00;0,00
1-532;Biopsie an anderen Teilen des Ohres durch Inzision;8;0;1;0;1;0;0;0;1;0;1;0;1;0;1;0;1;0;0;1;0;0,00;0,125;0,00;0,125;0,00;0,00;0,00;0,125;0,00;0,125;0,00;0,125;0,00;0,125;0,00;0,125;0,00;0,00;0,125;0,00
1-537;Biopsie am Naseninnenraum durch Inzision;4;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;1;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,25;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,25;0,00
1-538;Biopsie an den Nasennebenhöhlen durch Inzision;133;0;0;2;2;8;6;11;12;11;18;18;10;9;9;9;6;1;1;0;0;0,00;0,00;0,015;0,015;0,0602;0,0451;0,0827;0,0902;0,0827;0,1353;0,1353;0,0752;0,0677;0,0677;0,0677;0,0451;0,0075;0,0075;0,00;0,00
1-539;Biopsie an anderen Teilen der Nase durch Inzision;5;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;1;0;1;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,40;0,00;0,00;0,00;0,00;0,20;0,00;0,00;0,00;0,20;0,00;0,20;0,00
1-542;Biopsie an Speicheldrüse und Speicheldrüsenausführungsgang durch Inzision;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99
1-545;Biopsie an anderen Strukturen des Mundes und der Mundhöhle durch Inzision;26;0;0;0;0;0;0;0;0;0;2;2;1;3;7;4;1;2;2;1;1;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0769;0,0769;0,0385;0,1154;0,2692;0,1538;0,0385;0,0769;0,0769;0,0385;0,0385
1-546;Biopsie am Oropharynx durch Inzision;42;0;1;2;1;0;1;0;1;2;1;4;9;5;4;3;3;4;1;0;0;0,00;0,0238;0,0476;0,0238;0,00;0,0238;0,00;0,0238;0,0476;0,0238;0,0952;0,2143;0,119;0,0952;0,0714;0,0714;0,0952;0,0238;0,00;0,00
1-547;Biopsie am Hypopharynx durch Inzision;26;0;0;0;0;0;0;1;0;0;0;1;5;4;4;1;4;3;3;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,0385;0,00;0,00;0,00;0,0385;0,1923;0,1538;0,1538;0,0385;0,1538;0,1154;0,1154;0,00;0,00
1-548;Biopsie am Nasopharynx durch Inzision;16;0;0;1;0;0;1;0;0;1;1;3;0;1;2;0;3;0;1;2;0;0,00;0,00;0,0625;0,00;0,00;0,0625;0,00;0,00;0,0625;0,0625;0,1875;0,00;0,0625;0,125;0,00;0,1875;0,00;0,0625;0,125;0,00
1-549;Biopsie am Larynx durch Inzision;50;0;0;0;0;0;0;1;0;1;5;3;6;14;7;2;5;4;2;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,02;0,00;0,02;0,10;0,06;0,12;0,28;0,14;0,04;0,10;0,08;0,04;0,00;0,00
1-550;Biopsie am Zwerchfell durch Inzision;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99
1-551;Biopsie an der Leber durch Inzision;72;0;0;0;0;1;1;0;2;3;12;14;13;4;5;3;7;5;2;0;0;0,00;0,00;0,00;0,00;0,0139;0,0139;0,00;0,0278;0,0417;0,1667;0,1944;0,1806;0,0556;0,0694;0,0417;0,0972;0,0694;0,0278;0,00;0,00
1-552;Biopsie an Gallenblase und Gallengängen durch Inzision;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99
1-553;Biopsie am Pankreas durch Inzision;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1-554;Biopsie am Magen durch Inzision;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99
1-555;Biopsie am Dünndarm durch Inzision;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,50;0,00;0,00;0,50;0,00;0,00;0,00;0,00
1-556;Biopsie am Kolon durch Inzision;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,6667;0,00;0,3333;0,00;0,00
1-557;Biopsie an Rektum und perirektalem Gewebe durch Inzision;7;0;0;0;0;0;0;0;0;0;1;2;0;0;1;0;0;1;0;2;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,1429;0,2857;0,00;0,00;0,1429;0,00;0,00;0,1429;0,00;0,2857;0,00
1-559;Biopsie an anderen Verdauungsorganen, Peritoneum und retroperitonealem Gewebe durch Inzision;163;0;0;0;0;2;8;23;26;25;9;17;15;7;3;8;11;7;2;0;0;0,00;0,00;0,00;0,00;0,0123;0,0491;0,1411;0,1595;0,1534;0,0552;0,1043;0,092;0,0429;0,0184;0,0491;0,0675;0,0429;0,0123;0,00;0,00
1-560;Biopsie an Niere und perirenalem Gewebe durch Inzision;4;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;1;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,25;0,00;0,50;0,00;0,25;0,00;0,00;0,00;0,00
1-561;Biopsie an Urethra und periurethralem Gewebe durch Inzision;14;0;0;0;0;0;0;1;0;2;1;0;0;3;2;1;2;1;1;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,0714;0,00;0,1429;0,0714;0,00;0,00;0,2143;0,1429;0,0714;0,1429;0,0714;0,0714;0,00;0,00
1-562;Biopsie an anderen Harnorganen durch Inzision;61;0;0;0;1;0;2;1;0;1;3;1;3;5;6;7;15;10;4;2;0;0,00;0,00;0,00;0,0164;0,00;0,0328;0,0164;0,00;0,0164;0,0492;0,0164;0,0492;0,082;0,0984;0,1148;0,2459;0,1639;0,0656;0,0328;0,00
1-563;Biopsie an Prostata und periprostatischem Gewebe durch Inzision;10;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;5;3;0;1;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,10;0,00;0,50;0,30;0,00;0,10;0,00
1-564;Biopsie am Penis durch Inzision;35;0;0;0;0;0;0;0;1;0;0;0;1;4;4;8;4;4;7;1;1;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0286;0,00;0,00;0,00;0,0286;0,1143;0,1143;0,2286;0,1143;0,1143;0,20;0,0286;0,0286
1-565;Biopsie am Hoden durch Inzision;113;0;0;0;1;3;9;12;18;12;13;14;14;4;3;3;2;4;1;0;0;0,00;0,00;0,00;0,0088;0,0265;0,0796;0,1062;0,1593;0,1062;0,115;0,1239;0,1239;0,0354;0,0265;0,0265;0,0177;0,0354;0,0088;0,00;0,00
1-566;Biopsie am männlichen Perineum durch Inzision;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1-569;Biopsie an anderen männlichen Geschlechtsorganen durch Inzision;2;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,50;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1-570;Biopsie an Ovar, Tuba(e) uterina(e) und Ligamenten des Uterus durch Inzision;63;0;0;0;0;1;6;8;7;5;15;9;5;4;1;0;1;1;0;0;0;0,00;0,00;0,00;0,00;0,0159;0,0952;0,127;0,1111;0,0794;0,2381;0,1429;0,0794;0,0635;0,0159;0,00;0,0159;0,0159;0,00;0,00;0,00
1-571;Biopsie an Uterus und Cervix uteri durch Inzision;51;0;0;0;0;0;0;4;4;2;9;8;5;3;4;2;3;4;1;2;0;0,00;0,00;0,00;0,00;0,00;0,00;0,0784;0,0784;0,0392;0,1765;0,1569;0,098;0,0588;0,0784;0,0392;0,0588;0,0784;0,0196;0,0392;0,00
1-572;Biopsie an der Vagina durch Inzision;23;0;0;0;0;0;1;0;1;2;3;1;2;3;0;2;1;3;2;2;0;0,00;0,00;0,00;0,00;0,00;0,0435;0,00;0,0435;0,087;0,1304;0,0435;0,087;0,1304;0,00;0,087;0,0435;0,1304;0,087;0,087;0,00
1-573;Biopsie an der Vulva durch Inzision;60;0;0;0;0;0;1;5;1;1;5;6;6;5;3;4;5;8;8;2;0;0,00;0,00;0,00;0,00;0,00;0,0167;0,0833;0,0167;0,0167;0,0833;0,10;0,10;0,0833;0,05;0,0667;0,0833;0,1333;0,1333;0,0333;0,00
1-574;Biopsie am weiblichen Perineum durch Inzision;3;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,3333;0,3333;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,3333;0,00;0,00;0,00
1-579;Biopsie an anderen weiblichen Geschlechtsorganen durch Inzision;35;0;0;0;1;1;3;5;7;5;5;1;4;2;0;0;1;0;0;0;0;0,00;0,00;0,00;0,0286;0,0286;0,0857;0,1429;0,20;0,1429;0,1429;0,0286;0,1143;0,0571;0,00;0,00;0,0286;0,00;0,00;0,00;0,00
1-580;Biopsie an Herz und Perikard durch Inzision;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1-581;Biopsie am Mediastinum und anderen intrathorakalen Organen durch Inzision;8;0;0;0;0;0;0;0;1;0;0;0;0;3;0;2;1;1;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,125;0,00;0,00;0,00;0,00;0,375;0,00;0,25;0,125;0,125;0,00;0,00;0,00
1-582;Biopsie an Schilddrüse und Nebenschilddrüsen durch Inzision;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1-583;Biopsie an anderen Organen des Halses durch Inzision;4;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,25;0,00;0,25;0,00;0,25;0,00;0,25;0,00;0,00;0,00
1-584;Biopsie an der Nebenniere durch Inzision;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1-585;Biopsie an anderen intraabdominalen Organen durch Inzision;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00
1-586;Biopsie an Lymphknoten durch Inzision;40;0;0;1;0;1;2;3;2;1;1;0;2;5;5;5;2;8;2;0;0;0,00;0,00;0,025;0,00;0,025;0,05;0,075;0,05;0,025;0,025;0,00;0,05;0,125;0,125;0,125;0,05;0,20;0,05;0,00;0,00
1-587;Biopsie an Blutgefäßen durch Inzision;105;0;0;4;10;13;15;12;4;2;7;4;0;5;4;0;9;6;8;1;1;0,00;0,00;0,0381;0,0952;0,1238;0,1429;0,1143;0,0381;0,019;0,0667;0,0381;0,00;0,0476;0,0381;0,00;0,0857;0,0571;0,0762;0,0095;0,0095
1-589;Biopsie an anderen Organen und Geweben durch Inzision;14;0;0;0;1;0;0;3;2;1;0;1;1;1;0;0;2;0;0;2;0;0,00;0,00;0,00;0,0714;0,00;0,00;0,2143;0,1429;0,0714;0,00;0,0714;0,0714;0,0714;0,00;0,00;0,1429;0,00;0,00;0,1429;0,00
1-610;Diagnostische Laryngoskopie;2323;1;62;83;34;98;92;94;106;106;139;203;264;281;232;177;166;111;49;21;4;0,0004;0,0267;0,0357;0,0146;0,0422;0,0396;0,0405;0,0456;0,0456;0,0598;0,0874;0,1136;0,121;0,0999;0,0762;0,0715;0,0478;0,0211;0,009;0,0017
1-611;Diagnostische Pharyngoskopie;1976;6;223;199;101;155;193;136;109;92;101;113;129;106;112;70;71;33;19;7;1;0,003;0,1129;0,1007;0,0511;0,0784;0,0977;0,0688;0,0552;0,0466;0,0511;0,0572;0,0653;0,0536;0,0567;0,0354;0,0359;0,0167;0,0096;0,0035;0,0005
1-612;Diagnostische Rhinoskopie;1966;1;90;86;64;174;221;188;175;156;149;167;153;105;87;57;37;33;10;8;5;0,0005;0,0458;0,0437;0,0326;0,0885;0,1124;0,0956;0,089;0,0793;0,0758;0,0849;0,0778;0,0534;0,0443;0,029;0,0188;0,0168;0,0051;0,0041;0,0025
1-613;Evaluation des Schluckens mit flexiblem Endoskop;3;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0,00;0,00;0,00;0,00;0,00;0,00;0,3333;0,3333;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,3333;0,00
1-620;Diagnostische Tracheobronchoskopie;1444;0;5;0;0;6;11;8;28;30;47;75;137;167;177;195;233;169;103;38;15;0,00;0,0035;0,00;0,00;0,0042;0,0076;0,0055;0,0194;0,0208;0,0325;0,0519;0,0949;0,1157;0,1226;0,135;0,1614;0,117;0,0713;0,0263;0,0104
1-630;Diagnostische Ösophagoskopie;841;3;0;5;7;5;6;8;11;26;40;65;106;114;123;94;109;69;32;15;3;0,0036;0,00;0,0059;0,0083;0,0059;0,0071;0,0095;0,0131;0,0309;0,0476;0,0773;0,126;0,1356;0,1463;0,1118;0,1296;0,082;0,038;0,0178;0,0036
1-631;Diagnostische Ösophagogastroskopie;912;1;0;2;0;4;7;12;17;13;21;36;41;61;88;95;140;152;120;77;25;0,0011;0,00;0,0022;0,00;0,0044;0,0077;0,0132;0,0186;0,0143;0,023;0,0395;0,045;0,0669;0,0965;0,1042;0,1535;0,1667;0,1316;0,0844;0,0274
1-632;Diagnostische Ösophagogastroduodenoskopie;9178;2;5;17;33;99;144;161;154;161;243;376;450;623;654;786;1304;1677;1185;797;307;0,0002;0,0005;0,0019;0,0036;0,0108;0,0157;0,0175;0,0168;0,0175;0,0265;0,041;0,049;0,0679;0,0713;0,0856;0,1421;0,1827;0,1291;0,0868;0,0334
1-635;Diagnostische Jejunoskopie;13;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;6;1;2;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0769;0,1538;0,0769;0,4615;0,0769;0,1538;0,00;0,00
1-636;Diagnostische Intestinoskopie (Endoskopie des tiefen Jejunums und Ileums);3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,3333;0,00;0,00;0,00;0,00;0,00;0,3333;0,3333;0,00;0,00;0,00
1-638;Diagnostische Endoskopie des oberen Verdauungstraktes über ein Stoma;5;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;1;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,20;0,00;0,00;0,00;0,00;0,00;0,20;0,20;0,20;0,20;0,00;0,00;0,00;0,00
1-63a;Kapselendoskopie des Dünndarms;38;0;0;0;0;0;0;0;0;0;2;0;0;1;3;4;4;8;11;4;1;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0526;0,00;0,00;0,0263;0,0789;0,1053;0,1053;0,2105;0,2895;0,1053;0,0263
1-63b;Chromoendoskopie des oberen Verdauungstraktes;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99;-9,99
1-640;Diagnostische retrograde Darstellung der Gallenwege;49;0;0;0;0;1;0;1;2;1;2;2;5;2;1;3;4;10;9;6;0;0,00;0,00;0,00;0,00;0,0204;0,00;0,0204;0,0408;0,0204;0,0408;0,0408;0,102;0,0408;0,0204;0,0612;0,0816;0,2041;0,1837;0,1224;0,00
1-641;Diagnostische retrograde Darstellung der Pankreaswege;3;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,3333;0,00;0,3333;0,00;0,3333;0,00;0,00;0,00;0,00
1-642;Diagnostische retrograde Darstellung der Gallen- und Pankreaswege;160;0;0;0;0;0;1;1;3;2;4;5;1;11;13;27;22;28;11;23;8;0,00;0,00;0,00;0,00;0,00;0,0063;0,0063;0,0188;0,0125;0,025;0,0313;0,0063;0,0688;0,0813;0,1688;0,1375;0,175;0,0688;0,1438;0,05
