viersteller;vierstellername;Anzahl HA;unter 1 Jahr;1 bis unter 5 Jahre;5 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 70 Jahre;70 bis unter 75 Jahre;75 bis unter 80 Jahre;80 bis unter 85 Jahre;85 bis unter 90 Jahre;90 Jahre und älter;Ant00J;Ant0105J;Ant0510J;Ant1015J;Ant1520J;Ant2025J;Ant2530J;Ant3035J;Ant3540J;Ant4045J;Ant4550J;Ant5055J;Ant5560J;Ant6065J;Ant6570J;Ant7075J;Ant7580J;Ant8085J;Ant8590J;Ant90ffJ
1-470;Perkutane (Nadel-)Biopsie an weiblichen Geschlechtsorganen;728;1;0;2;2;2;9;27;28;19;34;34;41;43;56;66;89;112;68;66;29;0,0014;0,00;0,0027;0,0027;0,0027;0,0124;0,0371;0,0385;0,0261;0,0467;0,0467;0,0563;0,0591;0,0769;0,0907;0,1223;0,1538;0,0934;0,0907;0,0398
1-471;Biopsie ohne Inzision am Endometrium;39270;0;0;0;8;93;486;1358;2059;2700;3927;5802;5248;2914;2704;2457;3166;3193;1871;984;300;0,00;0,00;0,00;0,0002;0,0024;0,0124;0,0346;0,0524;0,0688;0,10;0,1477;0,1336;0,0742;0,0689;0,0626;0,0806;0,0813;0,0476;0,0251;0,0076
1-472;Biopsie ohne Inzision an der Cervix uteri;7277;0;0;0;0;23;207;804;840;746;738;948;789;411;369;295;391;364;208;107;37;0,00;0,00;0,00;0,00;0,0032;0,0284;0,1105;0,1154;0,1025;0,1014;0,1303;0,1084;0,0565;0,0507;0,0405;0,0537;0,05;0,0286;0,0147;0,0051
1-473;Biopsie ohne Inzision am graviden Uterus mit Steuerung durch bildgebende Verfahren;29;0;0;0;0;0;2;8;9;7;0;0;0;0;1;0;1;1;0;0;0;0,00;0,00;0,00;0,00;0,00;0,069;0,2759;0,3103;0,2414;0,00;0,00;0,00;0,00;0,0345;0,00;0,0345;0,0345;0,00;0,00;0,00
1-474;Perkutane Biopsie an weiblichen Geschlechtsorganen mit Steuerung durch bildgebende Verfahren;86;0;0;0;1;1;3;2;1;6;7;8;7;3;11;9;5;11;5;5;1;0,00;0,00;0,00;0,0116;0,0116;0,0349;0,0233;0,0116;0,0698;0,0814;0,093;0,0814;0,0349;0,1279;0,1047;0,0581;0,1279;0,0581;0,0581;0,0116
1-480;Perkutane (Nadel-)Biopsie an Knochen;5050;5;21;25;34;29;48;51;67;48;78;181;253;338;429;542;857;1007;649;322;66;0,001;0,0042;0,005;0,0067;0,0057;0,0095;0,0101;0,0133;0,0095;0,0154;0,0358;0,0501;0,0669;0,085;0,1073;0,1697;0,1994;0,1285;0,0638;0,0131
1-481;Biopsie ohne Inzision an Knochen mit Steuerung durch bildgebende Verfahren;5628;1;9;17;36;41;41;44;54;83;132;222;343;553;649;616;956;1005;520;247;59;0,0002;0,0016;0,003;0,0064;0,0073;0,0073;0,0078;0,0096;0,0147;0,0235;0,0394;0,0609;0,0983;0,1153;0,1095;0,1699;0,1786;0,0924;0,0439;0,0105
1-482;Arthroskopische Biopsie an Gelenken;4620;1;4;12;51;123;147;148;156;162;287;378;550;503;485;402;532;423;184;60;12;0,0002;0,0009;0,0026;0,011;0,0266;0,0318;0,032;0,0338;0,0351;0,0621;0,0818;0,119;0,1089;0,105;0,087;0,1152;0,0916;0,0398;0,013;0,0026
1-483;Perkutane (Nadel-)Biopsie an Gelenken und Schleimbeuteln;265;0;5;8;2;4;3;3;4;2;7;10;17;20;16;33;48;43;22;17;1;0,00;0,0189;0,0302;0,0075;0,0151;0,0113;0,0113;0,0151;0,0075;0,0264;0,0377;0,0642;0,0755;0,0604;0,1245;0,1811;0,1623;0,083;0,0642;0,0038
1-484;Perkutane Biopsie an Gelenken und Schleimbeuteln mit Steuerung durch bildgebende Verfahren;486;0;6;1;4;3;3;6;9;8;9;22;32;32;54;44;84;100;46;19;4;0,00;0,0123;0,0021;0,0082;0,0062;0,0062;0,0123;0,0185;0,0165;0,0185;0,0453;0,0658;0,0658;0,1111;0,0905;0,1728;0,2058;0,0947;0,0391;0,0082
1-490;Biopsie ohne Inzision an Haut und Unterhaut;28599;96;96;80;115;301;448;561;598;659;904;1444;1970;2113;2359;2362;3809;4343;3225;2132;984;0,0034;0,0034;0,0028;0,004;0,0105;0,0157;0,0196;0,0209;0,023;0,0316;0,0505;0,0689;0,0739;0,0825;0,0826;0,1332;0,1519;0,1128;0,0745;0,0344
1-491;Perkutane (Nadel-)Biopsie an Muskeln und Weichteilen;598;6;6;4;0;3;8;6;7;13;16;37;40;49;52;84;76;93;60;29;9;0,01;0,01;0,0067;0,00;0,005;0,0134;0,01;0,0117;0,0217;0,0268;0,0619;0,0669;0,0819;0,087;0,1405;0,1271;0,1555;0,1003;0,0485;0,0151
1-492;Perkutane Biopsie an Muskeln und Weichteilen mit Steuerung durch bildgebende Verfahren;2034;0;2;4;6;23;31;12;21;33;60;89;162;177;204;250;306;340;195;95;24;0,00;0,001;0,002;0,0029;0,0113;0,0152;0,0059;0,0103;0,0162;0,0295;0,0438;0,0796;0,087;0,1003;0,1229;0,1504;0,1672;0,0959;0,0467;0,0118
1-493;Perkutane (Nadel-)Biopsie an anderen Organen und Geweben;6319;4;5;4;17;28;73;91;115;185;301;516;639;521;595;543;716;836;575;391;164;0,0006;0,0008;0,0006;0,0027;0,0044;0,0116;0,0144;0,0182;0,0293;0,0476;0,0817;0,1011;0,0824;0,0942;0,0859;0,1133;0,1323;0,091;0,0619;0,026
1-494;Perkutane Biopsie an anderen Organen und Geweben mit Steuerung durch bildgebende Verfahren;12556;7;22;16;24;61;96;134;221;271;481;835;1312;1267;1410;1374;1731;1666;993;484;151;0,0006;0,0018;0,0013;0,0019;0,0049;0,0076;0,0107;0,0176;0,0216;0,0383;0,0665;0,1045;0,1009;0,1123;0,1094;0,1379;0,1327;0,0791;0,0385;0,012
1-497;Transvenöse oder transarterielle Biopsie;5386;16;31;49;56;128;149;192;213;266;349;610;693;670;674;427;444;289;104;24;2;0,003;0,0058;0,0091;0,0104;0,0238;0,0277;0,0356;0,0395;0,0494;0,0648;0,1133;0,1287;0,1244;0,1251;0,0793;0,0824;0,0537;0,0193;0,0045;0,0004
1-501;Biopsie der Mamma durch Inzision;1427;1;0;1;4;22;28;40;49;73;106;168;181;142;107;110;109;125;94;50;17;0,0007;0,00;0,0007;0,0028;0,0154;0,0196;0,028;0,0343;0,0512;0,0743;0,1177;0,1268;0,0995;0,075;0,0771;0,0764;0,0876;0,0659;0,035;0,0119
1-502;Biopsie an Muskeln und Weichteilen durch Inzision;7641;72;127;96;103;139;173;219;238;277;390;671;765;736;740;656;878;780;356;173;52;0,0094;0,0166;0,0126;0,0135;0,0182;0,0226;0,0287;0,0311;0,0363;0,051;0,0878;0,1001;0,0963;0,0968;0,0859;0,1149;0,1021;0,0466;0,0226;0,0068
1-503;Biopsie an Knochen durch Inzision;9011;5;38;125;258;224;157;155;179;184;278;448;615;757;833;808;1308;1338;787;412;102;0,0006;0,0042;0,0139;0,0286;0,0249;0,0174;0,0172;0,0199;0,0204;0,0309;0,0497;0,0682;0,084;0,0924;0,0897;0,1452;0,1485;0,0873;0,0457;0,0113
1-504;Biopsie an Gelenken und Schleimbeuteln durch Inzision;3935;1;1;2;19;30;46;37;56;61;134;216;305;361;454;453;669;632;314;121;23;0,0003;0,0003;0,0005;0,0048;0,0076;0,0117;0,0094;0,0142;0,0155;0,0341;0,0549;0,0775;0,0917;0,1154;0,1151;0,17;0,1606;0,0798;0,0307;0,0058
1-510;Biopsie an intrakraniellem Gewebe durch Inzision und Trepanation von Schädelknochen;1647;7;18;8;24;25;39;35;49;58;77;107;143;173;179;135;226;211;100;28;5;0,0043;0,0109;0,0049;0,0146;0,0152;0,0237;0,0213;0,0298;0,0352;0,0468;0,065;0,0868;0,105;0,1087;0,082;0,1372;0,1281;0,0607;0,017;0,003
1-511;Stereotaktische Biopsie an intrakraniellem Gewebe;2254;0;9;13;27;24;32;42;59;59;125;157;206;196;254;235;347;290;131;45;3;0,00;0,004;0,0058;0,012;0,0106;0,0142;0,0186;0,0262;0,0262;0,0555;0,0697;0,0914;0,087;0,1127;0,1043;0,1539;0,1287;0,0581;0,02;0,0013
1-512;Biopsie an intraspinalem Gewebe durch Inzision;122;0;1;0;2;0;2;2;4;5;6;6;10;8;17;11;19;18;8;2;1;0,00;0,0082;0,00;0,0164;0,00;0,0164;0,0164;0,0328;0,041;0,0492;0,0492;0,082;0,0656;0,1393;0,0902;0,1557;0,1475;0,0656;0,0164;0,0082
1-513;Biopsie an peripheren Nerven durch Inzision;1247;2;3;7;6;8;15;19;24;30;49;79;112;150;154;125;219;174;55;13;3;0,0016;0,0024;0,0056;0,0048;0,0064;0,012;0,0152;0,0192;0,0241;0,0393;0,0634;0,0898;0,1203;0,1235;0,1002;0,1756;0,1395;0,0441;0,0104;0,0024
1-514;Biopsie an Hypophyse und Corpus pineale durch Inzision;24;0;0;0;0;1;0;1;0;2;2;5;1;1;5;1;3;1;1;0;0;0,00;0,00;0,00;0,00;0,0417;0,00;0,0417;0,00;0,0833;0,0833;0,2083;0,0417;0,0417;0,2083;0,0417;0,125;0,0417;0,0417;0,00;0,00
1-515;Stereotaktische Biopsie an Hypophyse und Corpus pineale;2;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,50;0,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00
1-520;Biopsie am Augenlid durch Inzision;130;0;2;0;1;1;1;0;1;2;2;1;11;10;6;12;18;21;22;17;2;0,00;0,0154;0,00;0,0077;0,0077;0,0077;0,00;0,0077;0,0154;0,0154;0,0077;0,0846;0,0769;0,0462;0,0923;0,1385;0,1615;0,1692;0,1308;0,0154
1-522;Biopsie an Tränendrüse und Tränendrüsenausführungsgang durch Inzision;23;0;0;0;1;1;3;0;2;3;2;1;2;4;1;0;2;1;0;0;0;0,00;0,00;0,00;0,0435;0,0435;0,1304;0,00;0,087;0,1304;0,087;0,0435;0,087;0,1739;0,0435;0,00;0,087;0,0435;0,00;0,00;0,00
1-529;Biopsie an anderen Teilen des Auges durch Inzision;545;0;4;5;7;4;7;14;10;13;20;36;40;56;55;52;77;71;36;30;8;0,00;0,0073;0,0092;0,0128;0,0073;0,0128;0,0257;0,0183;0,0239;0,0367;0,0661;0,0734;0,1028;0,1009;0,0954;0,1413;0,1303;0,0661;0,055;0,0147
1-531;Biopsie am äußeren Gehörgang durch Inzision;79;0;1;3;1;1;2;3;1;0;2;5;6;3;7;5;8;10;16;3;2;0,00;0,0127;0,038;0,0127;0,0127;0,0253;0,038;0,0127;0,00;0,0253;0,0633;0,0759;0,038;0,0886;0,0633;0,1013;0,1266;0,2025;0,038;0,0253
1-532;Biopsie an anderen Teilen des Ohres durch Inzision;131;0;4;5;3;1;2;2;2;2;3;6;7;4;10;14;10;22;21;7;6;0,00;0,0305;0,0382;0,0229;0,0076;0,0153;0,0153;0,0153;0,0153;0,0229;0,0458;0,0534;0,0305;0,0763;0,1069;0,0763;0,1679;0,1603;0,0534;0,0458
1-537;Biopsie am Naseninnenraum durch Inzision;654;2;2;5;3;11;15;36;33;36;50;62;70;76;75;45;48;43;21;16;5;0,0031;0,0031;0,0076;0,0046;0,0168;0,0229;0,055;0,0505;0,055;0,0765;0,0948;0,107;0,1162;0,1147;0,0688;0,0734;0,0657;0,0321;0,0245;0,0076
1-538;Biopsie an den Nasennebenhöhlen durch Inzision;594;0;0;0;2;9;18;31;27;35;50;66;67;66;61;37;53;40;20;10;2;0,00;0,00;0,00;0,0034;0,0152;0,0303;0,0522;0,0455;0,0589;0,0842;0,1111;0,1128;0,1111;0,1027;0,0623;0,0892;0,0673;0,0337;0,0168;0,0034
1-539;Biopsie an anderen Teilen der Nase durch Inzision;190;0;1;0;0;1;2;1;2;3;3;11;8;23;17;19;29;32;12;20;6;0,00;0,0053;0,00;0,00;0,0053;0,0105;0,0053;0,0105;0,0158;0,0158;0,0579;0,0421;0,1211;0,0895;0,10;0,1526;0,1684;0,0632;0,1053;0,0316
1-542;Biopsie an Speicheldrüse und Speicheldrüsenausführungsgang durch Inzision;332;0;3;1;7;3;6;6;9;11;16;24;29;20;39;29;36;34;32;18;9;0,00;0,009;0,003;0,0211;0,009;0,0181;0,0181;0,0271;0,0331;0,0482;0,0723;0,0873;0,0602;0,1175;0,0873;0,1084;0,1024;0,0964;0,0542;0,0271
1-545;Biopsie an anderen Strukturen des Mundes und der Mundhöhle durch Inzision;2536;3;3;6;20;15;29;25;27;47;63;159;279;401;346;294;311;268;142;73;25;0,0012;0,0012;0,0024;0,0079;0,0059;0,0114;0,0099;0,0106;0,0185;0,0248;0,0627;0,11;0,1581;0,1364;0,1159;0,1226;0,1057;0,056;0,0288;0,0099
1-546;Biopsie am Oropharynx durch Inzision;2590;1;5;3;2;11;27;29;35;53;95;176;331;421;447;313;325;202;68;34;12;0,0004;0,0019;0,0012;0,0008;0,0042;0,0104;0,0112;0,0135;0,0205;0,0367;0,068;0,1278;0,1625;0,1726;0,1208;0,1255;0,078;0,0263;0,0131;0,0046
1-547;Biopsie am Hypopharynx durch Inzision;1173;0;1;0;0;0;3;8;12;10;39;82;136;187;205;166;172;97;36;16;3;0,00;0,0009;0,00;0,00;0,00;0,0026;0,0068;0,0102;0,0085;0,0332;0,0699;0,1159;0,1594;0,1748;0,1415;0,1466;0,0827;0,0307;0,0136;0,0026
1-548;Biopsie am Nasopharynx durch Inzision;553;0;1;2;3;10;16;10;17;15;31;31;71;77;70;66;63;43;14;10;3;0,00;0,0018;0,0036;0,0054;0,0181;0,0289;0,0181;0,0307;0,0271;0,0561;0,0561;0,1284;0,1392;0,1266;0,1193;0,1139;0,0778;0,0253;0,0181;0,0054
1-549;Biopsie am Larynx durch Inzision;2083;0;1;4;3;6;3;22;20;34;67;139;258;325;346;257;277;214;68;31;8;0,00;0,0005;0,0019;0,0014;0,0029;0,0014;0,0106;0,0096;0,0163;0,0322;0,0667;0,1239;0,156;0,1661;0,1234;0,133;0,1027;0,0326;0,0149;0,0038
1-550;Biopsie am Zwerchfell durch Inzision;472;1;3;0;0;3;6;6;11;8;13;22;62;44;59;59;65;74;26;8;2;0,0021;0,0064;0,00;0,00;0,0064;0,0127;0,0127;0,0233;0,0169;0,0275;0,0466;0,1314;0,0932;0,125;0,125;0,1377;0,1568;0,0551;0,0169;0,0042
1-551;Biopsie an der Leber durch Inzision;8106;80;12;13;13;45;88;140;188;230;349;583;759;829;920;882;1122;1025;564;228;36;0,0099;0,0015;0,0016;0,0016;0,0056;0,0109;0,0173;0,0232;0,0284;0,0431;0,0719;0,0936;0,1023;0,1135;0,1088;0,1384;0,1264;0,0696;0,0281;0,0044
1-552;Biopsie an Gallenblase und Gallengängen durch Inzision;174;1;0;0;0;0;1;3;1;1;3;4;14;13;20;14;30;35;20;10;4;0,0057;0,00;0,00;0,00;0,00;0,0057;0,0172;0,0057;0,0057;0,0172;0,023;0,0805;0,0747;0,1149;0,0805;0,1724;0,2011;0,1149;0,0575;0,023
1-553;Biopsie am Pankreas durch Inzision;672;1;0;0;0;1;1;6;4;7;7;27;49;54;101;90;114;122;65;17;6;0,0015;0,00;0,00;0,00;0,0015;0,0015;0,0089;0,006;0,0104;0,0104;0,0402;0,0729;0,0804;0,1503;0,1339;0,1696;0,1815;0,0967;0,0253;0,0089
1-554;Biopsie am Magen durch Inzision;361;0;1;0;2;1;2;5;9;6;12;23;32;38;24;38;50;55;37;20;6;0,00;0,0028;0,00;0,0055;0,0028;0,0055;0,0139;0,0249;0,0166;0,0332;0,0637;0,0886;0,1053;0,0665;0,1053;0,1385;0,1524;0,1025;0,0554;0,0166
1-555;Biopsie am Dünndarm durch Inzision;363;28;11;5;4;4;4;3;11;10;14;17;31;27;45;29;53;27;26;11;3;0,0771;0,0303;0,0138;0,011;0,011;0,011;0,0083;0,0303;0,0275;0,0386;0,0468;0,0854;0,0744;0,124;0,0799;0,146;0,0744;0,0716;0,0303;0,0083
1-556;Biopsie am Kolon durch Inzision;618;155;57;15;12;10;5;12;15;18;30;25;41;35;35;30;47;40;19;13;4;0,2508;0,0922;0,0243;0,0194;0,0162;0,0081;0,0194;0,0243;0,0291;0,0485;0,0405;0,0663;0,0566;0,0566;0,0485;0,0761;0,0647;0,0307;0,021;0,0065
1-557;Biopsie an Rektum und perirektalem Gewebe durch Inzision;1279;162;198;104;35;18;15;21;23;21;39;51;68;73;85;66;107;98;49;34;12;0,1267;0,1548;0,0813;0,0274;0,0141;0,0117;0,0164;0,018;0,0164;0,0305;0,0399;0,0532;0,0571;0,0665;0,0516;0,0837;0,0766;0,0383;0,0266;0,0094
1-559;Biopsie an anderen Verdauungsorganen, Peritoneum und retroperitonealem Gewebe durch Inzision;16929;21;22;19;30;230;571;846;900;833;1008;1314;1380;1426;1617;1517;2113;1781;855;359;87;0,0012;0,0013;0,0011;0,0018;0,0136;0,0337;0,05;0,0532;0,0492;0,0595;0,0776;0,0815;0,0842;0,0955;0,0896;0,1248;0,1052;0,0505;0,0212;0,0051
1-560;Biopsie an Niere und perirenalem Gewebe durch Inzision;383;2;4;4;4;11;8;12;13;11;19;45;46;31;49;42;46;26;8;2;0;0,0052;0,0104;0,0104;0,0104;0,0287;0,0209;0,0313;0,0339;0,0287;0,0496;0,1175;0,1201;0,0809;0,1279;0,1097;0,1201;0,0679;0,0209;0,0052;0,00
1-561;Biopsie an Urethra und periurethralem Gewebe durch Inzision;415;1;0;0;3;0;4;8;3;7;16;17;21;35;45;47;76;68;33;27;4;0,0024;0,00;0,00;0,0072;0,00;0,0096;0,0193;0,0072;0,0169;0,0386;0,041;0,0506;0,0843;0,1084;0,1133;0,1831;0,1639;0,0795;0,0651;0,0096
1-562;Biopsie an anderen Harnorganen durch Inzision;1132;2;9;7;1;4;16;33;29;17;46;56;86;88;121;120;178;187;75;41;16;0,0018;0,008;0,0062;0,0009;0,0035;0,0141;0,0292;0,0256;0,015;0,0406;0,0495;0,076;0,0777;0,1069;0,106;0,1572;0,1652;0,0663;0,0362;0,0141
1-563;Biopsie an Prostata und periprostatischem Gewebe durch Inzision;86;0;0;0;0;0;0;0;0;0;0;2;3;5;10;10;22;15;14;3;2;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0233;0,0349;0,0581;0,1163;0,1163;0,2558;0,1744;0,1628;0,0349;0,0233
1-564;Biopsie am Penis durch Inzision;883;0;2;4;3;3;11;19;24;22;29;51;42;59;91;99;143;144;87;38;12;0,00;0,0023;0,0045;0,0034;0,0034;0,0125;0,0215;0,0272;0,0249;0,0328;0,0578;0,0476;0,0668;0,1031;0,1121;0,1619;0,1631;0,0985;0,043;0,0136
1-565;Biopsie am Hoden durch Inzision;2820;19;11;16;56;101;225;348;435;392;319;338;244;124;62;48;38;31;11;1;1;0,0067;0,0039;0,0057;0,0199;0,0358;0,0798;0,1234;0,1543;0,139;0,1131;0,1199;0,0865;0,044;0,022;0,017;0,0135;0,011;0,0039;0,0004;0,0004
1-566;Biopsie am männlichen Perineum durch Inzision;13;0;0;0;0;0;1;0;0;1;1;1;1;0;2;1;3;1;0;1;0;0,00;0,00;0,00;0,00;0,00;0,0769;0,00;0,00;0,0769;0,0769;0,0769;0,0769;0,00;0,1538;0,0769;0,2308;0,0769;0,00;0,0769;0,00
1-569;Biopsie an anderen männlichen Geschlechtsorganen durch Inzision;99;5;5;4;6;5;8;3;6;4;6;7;7;8;10;2;4;6;2;1;0;0,0505;0,0505;0,0404;0,0606;0,0505;0,0808;0,0303;0,0606;0,0404;0,0606;0,0707;0,0707;0,0808;0,101;0,0202;0,0404;0,0606;0,0202;0,0101;0,00
1-570;Biopsie an Ovar, Tuba(e) uterina(e) und Ligamenten des Uterus durch Inzision;3267;2;1;1;36;109;223;367;400;399;445;496;277;119;97;66;107;74;36;8;4;0,0006;0,0003;0,0003;0,011;0,0334;0,0683;0,1123;0,1224;0,1221;0,1362;0,1518;0,0848;0,0364;0,0297;0,0202;0,0328;0,0227;0,011;0,0024;0,0012
1-571;Biopsie an Uterus und Cervix uteri durch Inzision;2841;0;0;1;1;16;84;192;221;209;247;295;272;226;224;160;237;223;130;79;24;0,00;0,00;0,0004;0,0004;0,0056;0,0296;0,0676;0,0778;0,0736;0,0869;0,1038;0,0957;0,0795;0,0788;0,0563;0,0834;0,0785;0,0458;0,0278;0,0084
1-572;Biopsie an der Vagina durch Inzision;1787;1;1;2;1;5;10;50;52;47;70;117;149;156;167;186;215;260;174;98;26;0,0006;0,0006;0,0011;0,0006;0,0028;0,0056;0,028;0,0291;0,0263;0,0392;0,0655;0,0834;0,0873;0,0935;0,1041;0,1203;0,1455;0,0974;0,0548;0,0145
1-573;Biopsie an der Vulva durch Inzision;3087;0;1;1;3;25;59;116;111;129;148;221;250;208;239;268;366;427;287;156;72;0,00;0,0003;0,0003;0,001;0,0081;0,0191;0,0376;0,036;0,0418;0,0479;0,0716;0,081;0,0674;0,0774;0,0868;0,1186;0,1383;0,093;0,0505;0,0233
1-574;Biopsie am weiblichen Perineum durch Inzision;176;0;1;0;0;4;10;22;21;15;11;14;11;16;9;8;9;15;7;3;0;0,00;0,0057;0,00;0,00;0,0227;0,0568;0,125;0,1193;0,0852;0,0625;0,0795;0,0625;0,0909;0,0511;0,0455;0,0511;0,0852;0,0398;0,017;0,00
1-579;Biopsie an anderen weiblichen Geschlechtsorganen durch Inzision;207;1;0;0;1;7;17;22;21;11;24;21;16;13;17;8;10;8;8;2;0;0,0048;0,00;0,00;0,0048;0,0338;0,0821;0,1063;0,1014;0,0531;0,1159;0,1014;0,0773;0,0628;0,0821;0,0386;0,0483;0,0386;0,0386;0,0097;0,00
1-580;Biopsie an Herz und Perikard durch Inzision;199;5;3;6;0;5;3;4;4;8;12;15;12;28;24;23;21;14;11;0;1;0,0251;0,0151;0,0302;0,00;0,0251;0,0151;0,0201;0,0201;0,0402;0,0603;0,0754;0,0603;0,1407;0,1206;0,1156;0,1055;0,0704;0,0553;0,00;0,005
1-581;Biopsie am Mediastinum und anderen intrathorakalen Organen durch Inzision;3424;20;2;6;14;11;18;29;38;43;76;149;266;288;374;417;605;608;327;112;21;0,0058;0,0006;0,0018;0,0041;0,0032;0,0053;0,0085;0,0111;0,0126;0,0222;0,0435;0,0777;0,0841;0,1092;0,1218;0,1767;0,1776;0,0955;0,0327;0,0061
1-582;Biopsie an Schilddrüse und Nebenschilddrüsen durch Inzision;108;0;0;0;1;0;2;1;1;2;3;2;14;12;7;15;14;15;13;4;2;0,00;0,00;0,00;0,0093;0,00;0,0185;0,0093;0,0093;0,0185;0,0278;0,0185;0,1296;0,1111;0,0648;0,1389;0,1296;0,1389;0,1204;0,037;0,0185
1-583;Biopsie an anderen Organen des Halses durch Inzision;163;3;3;0;2;0;0;1;2;3;6;7;24;18;19;13;17;25;12;6;2;0,0184;0,0184;0,00;0,0123;0,00;0,00;0,0061;0,0123;0,0184;0,0368;0,0429;0,1472;0,1104;0,1166;0,0798;0,1043;0,1534;0,0736;0,0368;0,0123
1-584;Biopsie an der Nebenniere durch Inzision;24;2;1;2;0;0;0;0;0;0;0;2;1;1;3;1;6;2;3;0;0;0,0833;0,0417;0,0833;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0833;0,0417;0,0417;0,125;0,0417;0,25;0,0833;0,125;0,00;0,00
1-585;Biopsie an anderen intraabdominalen Organen durch Inzision;289;1;6;1;2;5;4;10;13;12;13;21;23;23;19;22;41;37;23;13;0;0,0035;0,0208;0,0035;0,0069;0,0173;0,0138;0,0346;0,045;0,0415;0,045;0,0727;0,0796;0,0796;0,0657;0,0761;0,1419;0,128;0,0796;0,045;0,00
1-586;Biopsie an Lymphknoten durch Inzision;3927;17;74;36;49;65;86;101;92;100;134;216;310;372;469;401;504;505;232;133;31;0,0043;0,0188;0,0092;0,0125;0,0166;0,0219;0,0257;0,0234;0,0255;0,0341;0,055;0,0789;0,0947;0,1194;0,1021;0,1283;0,1286;0,0591;0,0339;0,0079
1-587;Biopsie an Blutgefäßen durch Inzision;2261;1;2;2;1;5;5;3;4;5;16;50;78;128;208;260;457;500;336;162;38;0,0004;0,0009;0,0009;0,0004;0,0022;0,0022;0,0013;0,0018;0,0022;0,0071;0,0221;0,0345;0,0566;0,092;0,115;0,2021;0,2211;0,1486;0,0716;0,0168
1-589;Biopsie an anderen Organen und Geweben durch Inzision;1470;10;9;9;6;14;30;44;61;57;69;119;109;119;142;126;172;192;100;54;28;0,0068;0,0061;0,0061;0,0041;0,0095;0,0204;0,0299;0,0415;0,0388;0,0469;0,081;0,0741;0,081;0,0966;0,0857;0,117;0,1306;0,068;0,0367;0,019
1-610;Diagnostische Laryngoskopie;125762;511;1504;1168;982;2875;3397;3800;4115;4367;5806;9500;13062;14682;15150;11762;13464;10654;5308;2750;905;0,0041;0,012;0,0093;0,0078;0,0229;0,027;0,0302;0,0327;0,0347;0,0462;0,0755;0,1039;0,1167;0,1205;0,0935;0,1071;0,0847;0,0422;0,0219;0,0072
1-611;Diagnostische Pharyngoskopie;108595;276;2942;2472;1516;3451;3817;3839;3896;3805;4870;7553;10508;12139;12661;9576;10586;8150;3882;1988;668;0,0025;0,0271;0,0228;0,014;0,0318;0,0351;0,0354;0,0359;0,035;0,0448;0,0696;0,0968;0,1118;0,1166;0,0882;0,0975;0,075;0,0357;0,0183;0,0062
1-612;Diagnostische Rhinoskopie;56835;190;1699;1398;1054;2670;2987;2882;2769;2511;2869;3899;4979;5297;5254;4002;4809;3986;2029;1141;410;0,0033;0,0299;0,0246;0,0185;0,047;0,0526;0,0507;0,0487;0,0442;0,0505;0,0686;0,0876;0,0932;0,0924;0,0704;0,0846;0,0701;0,0357;0,0201;0,0072
1-613;Evaluation des Schluckens mit flexiblem Endoskop;14884;9;25;8;14;47;89;96;98;128;225;418;668;928;1189;1321;2301;2930;2175;1548;667;0,0006;0,0017;0,0005;0,0009;0,0032;0,006;0,0064;0,0066;0,0086;0,0151;0,0281;0,0449;0,0623;0,0799;0,0888;0,1546;0,1969;0,1461;0,104;0,0448
1-620;Diagnostische Tracheobronchoskopie;420928;1637;2755;1145;937;2120;3351;4541;5638;6572;10377;19269;32121;43559;53057;51708;69361;62131;33114;14143;3392;0,0039;0,0065;0,0027;0,0022;0,005;0,008;0,0108;0,0134;0,0156;0,0247;0,0458;0,0763;0,1035;0,126;0,1228;0,1648;0,1476;0,0787;0,0336;0,0081
1-630;Diagnostische Ösophagoskopie;58972;136;239;155;133;277;418;597;788;1064;1779;3829;6454;8142;8926;7168;7708;6083;3033;1573;470;0,0023;0,0041;0,0026;0,0023;0,0047;0,0071;0,0101;0,0134;0,018;0,0302;0,0649;0,1094;0,1381;0,1514;0,1215;0,1307;0,1032;0,0514;0,0267;0,008
1-631;Diagnostische Ösophagogastroskopie;34706;287;537;326;317;381;407;443;557;627;918;1732;2445;3026;3394;3339;4616;4855;3383;2233;883;0,0083;0,0155;0,0094;0,0091;0,011;0,0117;0,0128;0,016;0,0181;0,0265;0,0499;0,0704;0,0872;0,0978;0,0962;0,133;0,1399;0,0975;0,0643;0,0254
